Sensor type	Sensor SN	Board SN	Averaging	Ch. A Mode	Ch. A Gain	Ch. B Mode	Ch. B Gain			
EC4-100-ETO	CLEW0000	205E374E2036	20	Current	1x, ( ± 500µA)	OFF	N/A			
Time	Concentration A, PPM	Concentration A, %	Current A, uA	Current raw A, uA	Concentration B, PPM	Concentration B, %	Current B, uA	Current raw B, uA	Bias, mV	Temperature, C
11/10/2024 10:53:33 AM	10.000	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:34 AM	10.000	0.001	0.009000	-0.162000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:35 AM	9.300	0.001	0.009000	-0.163000	0	0	0	0.0	-0.0	23
11/10/2024 10:53:36 AM	3.600	0.000	0.003000	-0.168000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:37 AM	1.400	0.000	0.001000	-0.170000	0	0	0	0.0	-0.0	23
11/10/2024 10:53:38 AM	-4.300	-0.000	-0.004000	-0.176000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:39 AM	-4.400	-0.000	-0.004000	-0.176000	0	0	0	0.0	-0.0	23
11/10/2024 10:53:40 AM	-6.100	-0.001	-0.005000	-0.178000	0	0	0	0.0	-0.0	23
11/10/2024 10:53:41 AM	-6.900	-0.001	-0.006000	-0.179000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:42 AM	-5.700	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:43 AM	-3.500	-0.000	-0.003000	-0.175000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:44 AM	-5.500	-0.001	-0.005000	-0.177000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:45 AM	-6.500	-0.001	-0.006000	-0.178000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:46 AM	-8.800	-0.001	-0.008000	-0.181000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:47 AM	-11.900	-0.001	-0.011000	-0.183000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:48 AM	-13.000	-0.001	-0.012000	-0.185000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:49 AM	-9.800	-0.001	-0.009000	-0.181000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:50 AM	-8.300	-0.001	-0.008000	-0.180000	0	0	0	0.0	-0.0	23
11/10/2024 10:53:51 AM	-10.500	-0.001	-0.010000	-0.182000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:52 AM	-13.100	-0.001	-0.012000	-0.185000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:53 AM	-17.300	-0.002	-0.016000	-0.189000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:54 AM	-19.900	-0.002	-0.019000	-0.191000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:55 AM	-19.700	-0.002	-0.019000	-0.191000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:56 AM	-16.200	-0.002	-0.015000	-0.188000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:57 AM	-17.100	-0.002	-0.016000	-0.189000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:58 AM	-11.400	-0.001	-0.011000	-0.183000	0	0	0	0.0	-0.1	23
11/10/2024 10:53:59 AM	-9.700	-0.001	-0.009000	-0.181000	0	0	0	0.0	-0.1	23
11/10/2024 10:54:00 AM	-8.800	-0.001	-0.008000	-0.180000	0	0	0	0.0	-0.1	23
11/10/2024 10:54:01 AM	-9.700	-0.001	-0.009000	-0.181000	0	0	0	0.0	-0.1	23
11/10/2024 10:54:02 AM	-7.700	-0.001	-0.007000	-0.179000	0	0	0	0.0	-0.1	23
11/10/2024 10:54:03 AM	-6.300	-0.001	-0.006000	-0.178000	0	0	0	0.0	-0.1	23
11/10/2024 10:54:04 AM	-1.700	-0.000	-0.001000	-0.174000	0	0	0	0.0	-0.1	23
11/10/2024 10:54:05 AM	-1.800	-0.000	-0.001000	-0.174000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:06 AM	-1.200	-0.000	-0.001000	-0.173000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:07 AM	1.300	0.000	0.001000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:08 AM	4.900	0.000	0.004000	-0.167000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:09 AM	1.200	0.000	0.001000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:10 AM	-2.400	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:11 AM	-2.500	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:12 AM	-2.500	-0.000	-0.002000	-0.174000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:13 AM	1.300	0.000	0.001000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:14 AM	-0.300	-0.000	0.000000	-0.172000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:15 AM	0.300	0.000	0.000000	-0.172000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:16 AM	0.700	0.000	0.000000	-0.171000	0	0	0	0.0	-0.1	24
11/10/2024 10:54:17 AM	4.000	0.000	0.003000	-0.168000	0	0	0	0.0	-0.0	24
11/10/2024 10:54:18 AM	6.600	0.001	0.006000	-0.166000	0	0	0	0.0	-0.1	24
